name,author,type,url,previewURL,price,timeHours,timeMinutes,productImage
How to play the Sicilian Defence!,Elisabeth Pähtz,FritzTrainer,https://shop.chessbase.com/en/products/paehtz_how_to_play_the_sicilian,//youtube.com/embed/Z8-IC2gMDMA,27.67,3,30,https://shop.chessbase.com/en/pics/bp_6629
Leningrad Dutch,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_leningrad_dutch,//youtube.com/embed/9EuIShmeT3w,29.65,5,16,https://shop.chessbase.com/en/pics/bp_6623
The modern Grand Prix Attack,Lawrence Trent,FritzTrainer,https://shop.chessbase.com/en/products/trent_the_modern_grand_prix_attack,//youtube.com/embed/_yXlnsrjXKs,27.67,,41,https://shop.chessbase.com/en/pics/bp_6677
A World Champion's Repertoire against the Queen's Gambit Declined,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_world_champions_repertoire_vs_queens_gambit_declined,//youtube.com/embed/qqenmNt95pQ,29.65,5,,https://shop.chessbase.com/en/pics/bp_6678
A Black Repertoire against the Two Knights,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_a_black_repertoire_against_the_two_knights,//youtube.com/embed/QHrUxIN2fmk,29.65,5,40,https://shop.chessbase.com/en/pics/bp_6686
Strike like the world champions,Oliver Reeh,FritzTrainer,https://shop.chessbase.com/en/products/reeh_strike_like_the_world_champions,//youtube.com/embed/3Xhiieevzis,29.65,,30,https://shop.chessbase.com/en/pics/bp_8130
"Pieces, Pawns and Squares",Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/mikhalchishin_pieces_pawns_and_squares,//youtube.com/embed/fsBt9NF-FCc,29.65,,11,https://shop.chessbase.com/en/pics/bp_8104
Calculation Training,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_calculation_training,//youtube.com/embed/ISMA31X6pw4,29.65,,52,https://shop.chessbase.com/en/pics/bp_8143
What Grandmasters Don’t See Vol. 1-3,Maurice Ashley,FritzTrainer,https://shop.chessbase.com/en/products/what_grandmasters_dont_see_vol1_3,//www.youtube.com/embed/Nvd21YO_hW4,49.48,4,18,https://shop.chessbase.com/en/pics/bp_8310
Extreme Calculation Training,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_extreme_calculation_training,//youtube.com/embed/-LDlhsl92hY,29.65,,,https://shop.chessbase.com/en/pics/bp_8237
Strategy Training: How to Make a Plan,Robert Ris,FritzTrainer,https://shop.chessbase.com/en/products/ris_how_to_make_a_plan,//youtube.com/embed/BQBIlbwe1cw,29.65,8,,https://shop.chessbase.com/en/pics/bp_8335
Typical Mistakes by 1000-1600 Players,Nicholas Pert,FritzTrainer,https://shop.chessbase.com/en/products/pert_typical_mistakes_by_1000_1600_players,//youtube.com/embed/u00yK8nOm7Q,29.65,4,40,https://shop.chessbase.com/en/pics/bp_8385
Fundamentals of Chess Tactics,Qiyu Zhou,FritzTrainer,https://shop.chessbase.com/en/products/zhou_fundamentals_of_chess_tactics,//youtube.com/embed/GUGFOO-FmeI,29.65,,,https://shop.chessbase.com/en/pics/bp_8468
Practical Chess Strategy: The Bishop,Merijn van Delft,FritzTrainer,https://shop.chessbase.com/en/products/van_delft_practical_strategy_bishop,//youtube.com/embed/Iy1UfIH-lh4,29.65,6,,https://shop.chessbase.com/Content/Layout2018/new_product_en.png
Understanding Middlegame Strategies Vol.1 - Dynamic Pawns,Ivan Sokolov,FritzTrainer,https://shop.chessbase.com/en/products/sokolov_understanding_middlegame_strategies_vol_1,//youtube.com/embed/IOxZRMjgH40,29.65,4,60,https://shop.chessbase.com/en/pics/bp_8490
Strategy and Tactics,Peter Wells,FritzTrainer,https://shop.chessbase.com/en/products/strategy_and_tactics,//youtube.com/embed/N1g7NIgCKwo,24.78,,34,https://shop.chessbase.com/en/pics/bp_4026
The path to tactical strength,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/the_path_to_tactical_strength,,29.74,,15,https://shop.chessbase.com/en/pics/bp_4116
Power Play 11 - Defence,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play11-defence,,29.74,,25,https://shop.chessbase.com/en/pics/bp_5804
The Secret to Chess,Maurice Ashley,FritzTrainer,https://shop.chessbase.com/en/products/the_secret_to_chess,//youtube.com/embed/M_okqyKTD-4,29.70,4,60,https://shop.chessbase.com/en/pics/bp_5767
Chess Highways,Dejan Bojkov,FritzTrainer,https://shop.chessbase.com/en/products/bojkov_chess_chess_highways,//youtube.com/embed/BNyTjeOd3pQ,29.65,5,38,https://shop.chessbase.com/en/pics/bp_6217
Know the Terrain Vol.6: Isolated Queen's Pawn,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_know_the_terrain_vol_6_isolated_queens_pawn,//youtube.com/embed/l6Aa1PYI9jU,27.67,,35,https://shop.chessbase.com/en/pics/bp_6636
Power Strategy 2 - The Middlegame - Static Positions,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_power_strategy_2_middlegame_static_positions,//youtube.com/embed/PUbGSM9IUCI,29.65,4,37,https://shop.chessbase.com/en/pics/bp_7803
Learning from the World Champions,Sergei Tiviakov,FritzTrainer,https://shop.chessbase.com/en/products/tiviakov_learning_from_the_world_champions,//youtube.com/embed/ZSQtCIw2VHA,29.65,5,45,https://shop.chessbase.com/en/pics/bp_7907
Typical mistakes by 1600-1900 players,Nicholas Pert,FritzTrainer,https://shop.chessbase.com/en/products/pert_typical_mistakes_by_1600_1900_players,//youtube.com/embed/WqnxRpM2trI,29.65,,05,https://shop.chessbase.com/en/pics/bp_7817
